,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
208,Paso De Los Libres,Oil,,PP,AR,2.135,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-29.7148,-57.0933,{nan},{'GPD': {'ARG0000132'}},95
209,Perugorria,Oil,,PP,AR,1.11,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-29.34,-58.6077,{nan},{'GPD': {'ARG0000133'}},492
210,Pico Truncado,CCGT,CCGT,PP,AR,45.6,,,0.0,0.0,0.0,2003.1581818181817,2003.1581818181817,2043.1581818181817,-46.7842,-67.9498,{nan},{'GPD': {'ARG0000304'}},233
213,Presidente Sarmiento,CCGT,CCGT,PP,AR,31.5,,,0.0,0.0,0.0,2003.1581818181817,2003.1581818181817,2043.1581818181817,-31.5129,-68.5399,{nan},{'GPD': {'ARG0000289'}},467
214,Puerto Madryn,CCGT,CCGT,PP,AR,42.0,,,0.0,0.0,0.0,2003.1581818181817,2003.1581818181817,2043.1581818181817,-42.7069,-65.1048,{nan},{'GPD': {'ARG0000073'}},285
215,Puerto Nuevo,Hard Coal,,PP,AR,589.0,,,0.0,0.0,0.0,1965.5,1965.5,2010.5,-34.5754,-58.3788,{nan},{'GPD': {'ARG0000045'}},26
217,Rio Corralito,Hydro,,PP,AR,13.2,,,0.0,0.0,0.0,1962.0,1962.0,2062.0,-24.983,-65.686,{nan},{'GPD': {'ARG0000282'}},516
218,Rufino,Oil,,PP,AR,31.9,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-34.2605,-62.7107,{nan},{'GPD': {'ARG0000310'}},98
219,Salto Andersen,Hydro,,PP,AR,7.9,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,-38.8244,-64.8296,{nan},{'GPD': {'ARG0000271'}},691
220,San Martin De Los Andes,Oil,,PP,AR,4.218,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-40.1511,-71.334,{nan},{'GPD': {'ARG0000250'}},289
221,San Pedro,Oil,,PP,AR,2.216,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-26.6253,-54.1102,{nan},{'GPD': {'ARG0000227'}},904
222,San Vicente,Oil,,PP,AR,27.6,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-35.0241,-58.4237,{nan},{'GPD': {'ARG0000159'}},973
223,Santa Isabel,Oil,,PP,AR,2.25,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-36.2314,-66.9381,{nan},{'GPD': {'ARG0000181'}},37
224,Santo Tome,Oil,,PP,AR,2.684,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-28.5497,-56.0722,{nan},{'GPD': {'ARG0000135'}},814
225,Sudoeste,CCGT,CCGT,PP,AR,140.0,,,0.0,0.0,0.0,1981.0,1981.0,2021.0,-31.463,-64.2388,{nan},{'GPD': {'ARG0000108'}},414
226,Tartagal,CCGT,CCGT,PP,AR,17.0,,,0.0,0.0,0.0,2003.1581818181817,2003.1581818181817,2043.1581818181817,-22.5099,-63.797,{nan},{'GPD': {'ARG0000283'}},942
227,Tostado,Oil,,PP,AR,3.2,,,0.0,0.0,0.0,1979.8333333333333,1979.8333333333333,2019.8333333333333,-29.2352,-61.7577,{nan},{'GPD': {'ARG0000312'}},572
228,Villa Gesell,CCGT,CCGT,PP,AR,130.0,,,0.0,0.0,0.0,2003.1581818181817,2003.1581818181817,2043.1581818181817,-37.2487,-56.9973,{nan},{'GPD': {'ARG0000009'}},197
229,Villa Maria Las Playas,CCGT,CCGT,PP,AR,48.0,,,0.0,0.0,0.0,1971.0,1971.0,2011.0,-39.0872,-67.0881,{nan},{'GPD': {'ARG0000109'}},741
230,Fresa Garruchos,Bioenergy,Steam Turbine,PP,AR,40.0,,,0.0,0.0,0.0,2020.0,2020.0,2040.0,-27.9473,-56.0008,{nan},{'GBPT': {'G200575'}},79
231,Ingenio Tabacal,Bioenergy,Steam Turbine,PP,AR,40.0,,,0.0,0.0,0.0,2011.0,2011.0,2031.0,-23.2537,-64.2413,{nan},{'GBPT': {'G200590'}},720
232,La Florida,Bioenergy,Steam Turbine,PP,AR,62.0,,,0.0,0.0,0.0,2023.0,2023.0,2043.0,-26.8173,-65.0852,"{nan, nan}","{'GBPT': {'G200473', 'G200472'}}",520
233,Puerto Esperanza Biomass,Bioenergy,Steam Turbine,PP,AR,40.0,,,0.0,0.0,0.0,2010.0,2010.0,2030.0,-25.9899,-54.6366,{nan},{'GBPT': {'G200641'}},822
234,Puerto Piray,Bioenergy,Steam Turbine,PP,AR,38.0,,,0.0,0.0,0.0,2009.0,2009.0,2029.0,-26.4807,-54.716,{nan},{'GBPT': {'G200642'}},2
235,San Alonso,Bioenergy,Steam Turbine,PP,AR,37.0,,,0.0,0.0,0.0,2023.0,2023.0,2043.0,-28.056,-56.0083,{nan},{'GBPT': {'G200466'}},79
